term,display_order,panel_key,panel_label,value,deviation,raw_count,document_count,token_denominator,document_denominator,panel_order,reference_key,reference_label,reference_value,reference_raw_count,reference_document_count,reference_token_denominator,reference_document_denominator,plotted_quantity,plotted_value,axis_min,axis_max,scale_policy,layout_band,layout_column,highlighted
would,10,fantasy,Fantasy,4272.445820433436,-476.4430052341986,138,19,32300,20,1,reference,Full 146-story sample,4748.888825667635,2170,143,456949,146,deviation,-476.4430052341986,-8834.883377484586,8834.883377484586,shared,1,1,False
would,10,horror,Horror,4184.5596608448695,-564.329164822765,305,20,72887,20,2,reference,Full 146-story sample,4748.888825667635,2170,143,456949,146,deviation,-564.329164822765,-8834.883377484586,8834.883377484586,shared,1,2,False
would,10,science_fiction,Science Fiction,4782.535306363586,33.64648069595114,255,19,53319,20,3,reference,Full 146-story sample,4748.888825667635,2170,143,456949,146,deviation,33.64648069595114,-8834.883377484586,8834.883377484586,shared,1,3,False
been,11,fantasy,Fantasy,2755.4179566563466,-1743.9900735614679,89,17,32300,20,1,reference,Full 146-story sample,4499.4080302178145,2056,143,456949,146,deviation,-1743.9900735614679,-8834.883377484586,8834.883377484586,shared,1,1,True
been,11,horror,Horror,4266.878867287719,-232.52916293009548,311,20,72887,20,2,reference,Full 146-story sample,4499.4080302178145,2056,143,456949,146,deviation,-232.52916293009548,-8834.883377484586,8834.883377484586,shared,1,2,False
been,11,science_fiction,Science Fiction,4276.149215101559,-223.2588151162554,228,20,53319,20,3,reference,Full 146-story sample,4499.4080302178145,2056,143,456949,146,deviation,-223.2588151162554,-8834.883377484586,8834.883377484586,shared,1,3,False
about,12,fantasy,Fantasy,4489.164086687306,149.51130267858753,145,20,32300,20,1,reference,Full 146-story sample,4339.652784008718,1983,146,456949,146,deviation,149.51130267858753,-8834.883377484586,8834.883377484586,shared,1,1,False
about,12,horror,Horror,4061.0808511805944,-278.57193282812386,296,20,72887,20,2,reference,Full 146-story sample,4339.652784008718,1983,146,456949,146,deviation,-278.57193282812386,-8834.883377484586,8834.883377484586,shared,1,2,False
about,12,science_fiction,Science Fiction,5045.105872203155,705.4530881944365,269,20,53319,20,3,reference,Full 146-story sample,4339.652784008718,1983,146,456949,146,deviation,705.4530881944365,-8834.883377484586,8834.883377484586,shared,1,3,False
could,13,fantasy,Fantasy,5572.755417956657,1362.2198877333722,180,19,32300,20,1,reference,Full 146-story sample,4210.535530223285,1924,143,456949,146,deviation,1362.2198877333722,-8834.883377484586,8834.883377484586,shared,1,1,False
could,13,horror,Horror,4774.513973685294,563.9784434620096,348,20,72887,20,2,reference,Full 146-story sample,4210.535530223285,1924,143,456949,146,deviation,563.9784434620096,-8834.883377484586,8834.883377484586,shared,1,2,False
could,13,science_fiction,Science Fiction,4651.2500234438,440.7144932205156,248,19,53319,20,3,reference,Full 146-story sample,4210.535530223285,1924,143,456949,146,deviation,440.7144932205156,-8834.883377484586,8834.883377484586,shared,1,3,False
now,14,fantasy,Fantasy,7058.823529411765,3253.1471847868725,228,20,32300,20,1,reference,Full 146-story sample,3805.6763446248924,1739,146,456949,146,deviation,3253.1471847868725,-8834.883377484586,8834.883377484586,shared,1,1,False
now,14,horror,Horror,4088.5205866615447,282.8442420366523,298,20,72887,20,2,reference,Full 146-story sample,3805.6763446248924,1739,146,456949,146,deviation,282.8442420366523,-8834.883377484586,8834.883377484586,shared,1,2,False
now,14,science_fiction,Science Fiction,4519.964740524016,714.2883958991233,241,20,53319,20,3,reference,Full 146-story sample,3805.6763446248924,1739,146,456949,146,deviation,714.2883958991233,-8834.883377484586,8834.883377484586,shared,1,3,False
old,15,fantasy,Fantasy,8049.53560371517,4541.485471205852,260,18,32300,20,1,reference,Full 146-story sample,3508.0501325093173,1603,138,456949,146,deviation,4541.485471205852,-8834.883377484586,8834.883377484586,shared,1,1,False
old,15,horror,Horror,3498.5662738211204,-9.48385868819696,255,19,72887,20,2,reference,Full 146-story sample,3508.0501325093173,1603,138,456949,146,deviation,-9.48385868819696,-8834.883377484586,8834.883377484586,shared,1,2,False
old,15,science_fiction,Science Fiction,3038.31654757216,-469.7335849371575,162,19,53319,20,3,reference,Full 146-story sample,3508.0501325093173,1603,138,456949,146,deviation,-469.7335849371575,-8834.883377484586,8834.883377484586,shared,1,3,False
more,16,fantasy,Fantasy,2972.1362229102165,-402.41979975314416,96,16,32300,20,1,reference,Full 146-story sample,3374.5560226633606,1542,142,456949,146,deviation,-402.41979975314416,-8834.883377484586,8834.883377484586,shared,1,1,False
more,16,horror,Horror,3224.168919011621,-150.38710365173984,235,20,72887,20,2,reference,Full 146-story sample,3374.5560226633606,1542,142,456949,146,deviation,-150.38710365173984,-8834.883377484586,8834.883377484586,shared,1,2,False
more,16,science_fiction,Science Fiction,3375.907275080178,1.3512524168172604,180,20,53319,20,3,reference,Full 146-story sample,3374.5560226633606,1542,142,456949,146,deviation,1.3512524168172604,-8834.883377484586,8834.883377484586,shared,1,3,False
little,17,fantasy,Fantasy,11702.786377708979,8334.795639136402,378,20,32300,20,1,reference,Full 146-story sample,3367.990738572576,1539,144,456949,146,deviation,8334.795639136402,-8834.883377484586,8834.883377484586,shared,1,1,True
little,17,horror,Horror,1632.6642611165228,-1735.3264774560532,119,19,72887,20,2,reference,Full 146-story sample,3367.990738572576,1539,144,456949,146,deviation,-1735.3264774560532,-8834.883377484586,8834.883377484586,shared,1,2,False
little,17,science_fiction,Science Fiction,2063.054445882331,-1304.936292690245,110,19,53319,20,3,reference,Full 146-story sample,3367.990738572576,1539,144,456949,146,deviation,-1304.936292690245,-8834.883377484586,8834.883377484586,shared,1,3,False
down,18,fantasy,Fantasy,3653.2507739938083,300.57903163306355,118,18,32300,20,1,reference,Full 146-story sample,3352.6717423607447,1532,142,456949,146,deviation,300.57903163306355,-8834.883377484586,8834.883377484586,shared,1,1,False
down,18,horror,Horror,2497.0159287664465,-855.6558135942983,182,20,72887,20,2,reference,Full 146-story sample,3352.6717423607447,1532,142,456949,146,deviation,-855.6558135942983,-8834.883377484586,8834.883377484586,shared,1,2,False
down,18,science_fiction,Science Fiction,3563.457679251299,210.78593689055424,190,20,53319,20,3,reference,Full 146-story sample,3352.6717423607447,1532,142,456949,146,deviation,210.78593689055424,-8834.883377484586,8834.883377484586,shared,1,3,False
did,19,fantasy,Fantasy,3065.015479876161,-278.90255036353756,99,15,32300,20,1,reference,Full 146-story sample,3343.9180302396985,1528,139,456949,146,deviation,-278.90255036353756,-8834.883377484586,8834.883377484586,shared,1,1,False
did,19,horror,Horror,2373.537119102172,-970.3809111375267,173,20,72887,20,2,reference,Full 146-story sample,3343.9180302396985,1528,139,456949,146,deviation,-970.3809111375267,-8834.883377484586,8834.883377484586,shared,1,2,False
did,19,science_fiction,Science Fiction,2719.4808604812542,-624.4371697584443,145,18,53319,20,3,reference,Full 146-story sample,3343.9180302396985,1528,139,456949,146,deviation,-624.4371697584443,-8834.883377484586,8834.883377484586,shared,1,3,False
some,20,fantasy,Fantasy,2167.1826625387,-1080.4445343694892,70,16,32300,20,1,reference,Full 146-story sample,3247.627196908189,1484,141,456949,146,deviation,-1080.4445343694892,-8834.883377484586,8834.883377484586,shared,1,1,False
some,20,horror,Horror,3923.8821737758444,676.2549768676554,286,20,72887,20,2,reference,Full 146-story sample,3247.627196908189,1484,141,456949,146,deviation,676.2549768676554,-8834.883377484586,8834.883377484586,shared,1,2,True
some,20,science_fiction,Science Fiction,3113.3367092406083,-134.2904876675807,166,20,53319,20,3,reference,Full 146-story sample,3247.627196908189,1484,141,456949,146,deviation,-134.2904876675807,-8834.883377484586,8834.883377484586,shared,1,3,False
