term,display_order,panel_key,panel_label,value,deviation,raw_count,document_count,token_denominator,document_denominator,panel_order,reference_key,reference_label,reference_value,reference_raw_count,reference_document_count,reference_token_denominator,reference_document_denominator,plotted_quantity,plotted_value,axis_min,axis_max,scale_policy,layout_band,layout_column,highlighted
not,1,adventure,Adventure,9637.102845956935,-164.86630158469416,192,6,19923,6,1,reference,Full 146-story sample,9801.96914754163,4479,146,456949,146,deviation,-164.86630158469416,-8834.883377484586,8834.883377484586,shared,1,1,False
not,1,fantasy,Fantasy,12786.377708978329,2984.4085614366995,413,20,32300,20,2,reference,Full 146-story sample,9801.96914754163,4479,146,456949,146,deviation,2984.4085614366995,-8834.883377484586,8834.883377484586,shared,1,2,False
not,1,horror,Horror,7628.24646370409,-2173.722683837539,556,20,72887,20,3,reference,Full 146-story sample,9801.96914754163,4479,146,456949,146,deviation,-2173.722683837539,-8834.883377484586,8834.883377484586,shared,1,3,False
not,1,humor,Humor,11191.088260497001,1389.1191129553717,653,20,58350,20,4,reference,Full 146-story sample,9801.96914754163,4479,146,456949,146,deviation,1389.1191129553717,-8834.883377484586,8834.883377484586,shared,1,4,False
not,1,mystery,Mystery,8184.243236826301,-1617.7259107153286,586,20,71601,20,5,reference,Full 146-story sample,9801.96914754163,4479,146,456949,146,deviation,-1617.7259107153286,-8834.883377484586,8834.883377484586,shared,1,5,True
not,1,romance,Romance,14374.958017061866,4572.988869520237,1070,20,74435,20,6,reference,Full 146-story sample,9801.96914754163,4479,146,456949,146,deviation,4572.988869520237,-8834.883377484586,8834.883377484586,shared,1,6,True
not,1,science_fiction,Science Fiction,8327.237945197772,-1474.7312023438571,444,20,53319,20,7,reference,Full 146-story sample,9801.96914754163,4479,146,456949,146,deviation,-1474.7312023438571,-8834.883377484586,8834.883377484586,shared,1,7,False
not,1,western,Western,7621.334340518521,-2180.634807023109,565,20,74134,20,8,reference,Full 146-story sample,9801.96914754163,4479,146,456949,146,deviation,-2180.634807023109,-8834.883377484586,8834.883377484586,shared,1,8,False
said,2,adventure,Adventure,3814.6865431912865,-4275.931884685785,76,6,19923,6,1,reference,Full 146-story sample,8090.618427877072,3697,146,456949,146,deviation,-4275.931884685785,-8834.883377484586,8834.883377484586,shared,1,1,True
said,2,fantasy,Fantasy,16408.668730650155,8318.050302773085,530,20,32300,20,2,reference,Full 146-story sample,8090.618427877072,3697,146,456949,146,deviation,8318.050302773085,-8834.883377484586,8834.883377484586,shared,1,2,False
said,2,horror,Horror,2359.817251361697,-5730.801176515375,172,20,72887,20,3,reference,Full 146-story sample,8090.618427877072,3697,146,456949,146,deviation,-5730.801176515375,-8834.883377484586,8834.883377484586,shared,1,3,True
said,2,humor,Humor,11088.260497000856,2997.6420691237845,647,20,58350,20,4,reference,Full 146-story sample,8090.618427877072,3697,146,456949,146,deviation,2997.6420691237845,-8834.883377484586,8834.883377484586,shared,1,4,True
said,2,mystery,Mystery,11536.151729724446,3445.533301847375,826,20,71601,20,5,reference,Full 146-story sample,8090.618427877072,3697,146,456949,146,deviation,3445.533301847375,-8834.883377484586,8834.883377484586,shared,1,5,True
said,2,romance,Romance,9592.261704843153,1501.6432769660814,714,20,74435,20,6,reference,Full 146-story sample,8090.618427877072,3697,146,456949,146,deviation,1501.6432769660814,-8834.883377484586,8834.883377484586,shared,1,6,False
said,2,science_fiction,Science Fiction,8439.768187700443,349.1497598233718,450,20,53319,20,7,reference,Full 146-story sample,8090.618427877072,3697,146,456949,146,deviation,349.1497598233718,-8834.883377484586,8834.883377484586,shared,1,7,False
